Title,Genres,Company,Platform,Rel
SSX on Tour,Sports,EA,Sony PSP,2005
Tiger Woods PGA Tour 06,Sports,EA,Sony PSP,2005
Death Jr.,Action,Konami,Sony PSP,2005
Harry Potter and the Goblet of Fire,Action,EA,Sony PSP,2005
MediEvil Resurrection,Action,Sony,Sony PSP,2005
"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)",,Nintendo DS,2005
Shrek SuperSlam,Action,Activision,Nintendo DS,2005
Virtua Tennis: World Tour,Sports,Sega,Sony PSP,2005
Prince of Persia: Revelations,Action,Ubisoft,Sony PSP,2005
Burnout Legends,"Action,Racing / Driving",EA,Nintendo DS,2005
Meteos,Strategy,Nintendo,Nintendo DS,2005
Spyro: Shadow Legacy,Role-Playing (RPG),,Nintendo DS,2005
The Con,Action,Sony,Sony PSP,2005
Infected,Action,,Sony PSP,2005
Pursuit Force,"Action,Racing / Driving",Sony,Sony PSP,2005
Kingdom of Paradise,"Action,Role-Playing (RPG)",Sony,Sony PSP,2005
Dragon Ball Z: Supersonic Warriors 2,Action,Atari,Nintendo DS,2005
Dragon Quest Heroes: Rocket Slime,Action,SquareEnix,Nintendo DS,2005
Dead to Rights: Reckoning,Action,Namco,Sony PSP,2005
Amped 3,Sports,2K,X360,2005
Break 'em All,Action,,Nintendo DS,2005
Lunar: Dragon Song,Role-Playing (RPG),Ubisoft,Nintendo DS,2005
Madden NFL 06,Sports,EA,Nintendo DS,2005
Retro Atari Classics,"Action,Racing / Driving,Simulation",Atari,Nintendo DS,2005
True Swing Golf,Sports,Nintendo,Nintendo DS,2005
FIFA Soccer,Sports,EA,Sony PSP,2005
Metal Gear Ac!d 2,Strategy,Konami,Sony PSP,2005
ATV Quad Frenzy,"Racing / Driving,Sports",,Nintendo DS,2005
Bomberman,Strategy,Ubisoft,Nintendo DS,2005
GoldenEye: Rogue Agent,Action,EA,Nintendo DS,2005
Need for Speed Underground 2,Racing / Driving,EA,Nintendo DS,2005
Frogger: Helmet Chaos,Action,Konami,Sony PSP,2005
The Lord of the Rings: Tactics,"Role-Playing (RPG),Strategy",EA,Sony PSP,2005
Rengoku: The Tower of Purgatory,"Action,Role-Playing (RPG)",Konami,Sony PSP,2005
Gretzky NHL,Sports,Sony,Sony PSP,2005
Ridge Racer 6,Racing / Driving,"EA,Namco",X360,2005
Ford Racing 3,"Action,Racing / Driving",,Nintendo DS,2005
NHL 2K6 ,Sports,2K,X360,2005
Bust-a-Move DS,"Action,Strategy",,Nintendo DS,2005
Battles of Prince of Persia,Strategy,Ubisoft,Nintendo DS,2005
GripShift,Racing / Driving,Ubisoft,Sony PSP,2005
Marvel Nemesis: Rise of the Imperfects ,Action,EA,Nintendo DS,2005
Scooby-Doo! Unmasked,Action,THQ,Nintendo DS,2005
Viewtiful Joe: Double Trouble!,Action,Capcom,Nintendo DS,2005
The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),,Sony PSP,2005
PQ: Practical Intelligence Quotient,Strategy,,Sony PSP,2005
Lost in Blue,Role-Playing (RPG),Konami,Nintendo DS,2005
Ghost in the Shell: Stand Alone Complex,Action,Sony,Sony PSP,2005
Dig Dug: Digging Strike,Action,Namco,Nintendo DS,2005
Frogger: Helmet Chaos,Action,Konami,Nintendo DS,2005
Mega Man Battle Network 5: Double Team DS,"Action,Role-Playing (RPG)",Capcom,Nintendo DS,2005
Nanostray,Action,THQ,Nintendo DS,2005
Sega Casino,Simulation,Sega,Nintendo DS,2005
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,"Action,Adventure",Konami,Nintendo DS,2005
Pac-Man World 3,Action,"EA,Namco",Sony PSP,2005
Tokobot,Strategy,,Sony PSP,2005
Fullmetal Alchemist: Dual Sympathy,Action,,Nintendo DS,2005
Exit,Action,Ubisoft,Sony PSP,2005
Bubble Bobble Revolution,Action,,Nintendo DS,2005
The Rub Rabbits!,"Action,Adventure",Sega,Nintendo DS,2005
Electroplankton,Simulation,Nintendo,Nintendo DS,2005
LifeSigns: Surgical Unit,"Simulation,Strategy",,Nintendo DS,2005
Space Invaders Revolution,Action,,Nintendo DS,2005
Wii Play,"Action,Sports",Nintendo,Nintendo Wii,2006
New Super Mario Bros.,Action,Nintendo,Nintendo DS,2006
Pokmon Diamond,Role-Playing (RPG),Nintendo,Nintendo DS,2006
Pokmon Pearl,Role-Playing (RPG),Nintendo,Nintendo DS,2006
Gears of War,Action,Microsoft,X360,2006
The Legend of Zelda: Twilight Princess,"Action,Role-Playing (RPG)",Nintendo,Nintendo Wii,2006
Cooking Mama,Simulation,,Nintendo DS,2006
Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",Activision,X360,2006
Daxter,Action,Sony,Sony PSP,2006
The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",2K,X360,2006
Madden NFL 07,Sports,EA,X360,2006
Grand Theft Auto: Vice City Stories,"Action,Racing / Driving",Rockstar,Sony PSP,2006
Resistance: Fall of Man,Action,Sony,PlayStation 3,2006
MotorStorm,"Action,Racing / Driving,Sports",Sony,PlayStation 3,2006
Call of Duty 3,Action,Activision,X360,2006
Yoshi's Island DS,Action,Nintendo,Nintendo DS,2006
Tom Clancy's Ghost Recon: Advanced Warfighter,Action,Ubisoft,X360,2006
Fight Night Round 3,"Action,Sports",EA,X360,2006
Pokmon Ranger,Role-Playing (RPG),Nintendo,Nintendo DS,2006
Rayman Raving Rabbids,Action,Ubisoft,Nintendo Wii,2006
Saints Row,"Action,Racing / Driving",THQ,X360,2006
Tom Clancy's Rainbow Six: Vegas,Action,Ubisoft,X360,2006
Dead Rising,Action,Capcom,X360,2006
Call of Duty 3,Action,Activision,Nintendo Wii,2006
Lost Planet: Extreme Condition,Action,Capcom,X360,2006
Mario Hoops 3 on 3,Sports,Nintendo,Nintendo DS,2006
LEGO Star Wars II: The Original Trilogy,Action,EA,Nintendo DS,2006
Super Monkey Ball: Banana Blitz,Action,Sega,Nintendo Wii,2006
The Sims 2: Pets,Simulation,EA,Nintendo DS,2006
Need for Speed: Carbon - Own the City,Racing / Driving,EA,Sony PSP,2006
WarioWare: Smooth Moves,"Action,Racing / Driving,Sports",Nintendo,Nintendo Wii,2006
Fight Night Round 3,"Action,Sports",EA,PlayStation 3,2006
Final Fantasy III,Role-Playing (RPG),SquareEnix,Nintendo DS,2006
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Action,Sony,Sony PSP,2006
Madden NFL 07,Sports,EA,Sony PSP,2006
Monster 4x4: World Circuit,Racing / Driving,Ubisoft,Nintendo Wii,2006
Kirby: Squeak Squad,Action,Nintendo,Nintendo DS,2006
Pokmon Battle Revolution,"Action,Strategy",Nintendo,Nintendo Wii,2006
